Graph Index,Direction,epsilon,Case,Algorithm,lambda_0,lambda_1,lambda_2,lambda_3,Queue 0 Param,Queue 1 Param,Queue 2 Param,Queue 3 Param,Avg Lq_0,Avg Lq_1,Avg Lq_2,Avg Lq_3,Avg sum(Lq),Avg Cost-Weighted sum(Lq)
,,0.005,good,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,1.2527680503643923,1.393117620117937,3.019348698806417,6.153020006791486,11.818254376080233,20.44854605544864
,,0.005,good,weighted_maxweight,0.995,0.995,0.995,0.995,1.0,1.3333333333333333,1.6666666666666665,2.0,1.6694297190297251,1.072940284566666,1.3217165579533823,6.426403010431823,10.490489571981596,18.155683715904562
,,0.005,good,cmu,0.995,0.995,0.995,0.995,,,,,1.6959524946096582,1.1029339760249335,2.1129143817909197,5.389735567747063,10.301536420172575,17.467526234455228
,,0.005,good,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,1.6959524946096582,1.1029339760249335,2.1129143817909197,5.389735567747063,10.301536420172575,17.467526234455228
,,0.005,good,random,0.995,0.995,0.995,0.995,1,1,1,1,1.6959524946096582,1.1029339760249335,2.1129143817909197,5.389735567747063,10.301536420172575,17.467526234455228
,,0.005,good,random_idle,0.995,0.995,0.995,0.995,1,1,1,1,1.6964598611001762,1.3481566656723962,2.762868548452063,2.7275485606137315,8.535033635838367,13.55388011731094
,,0.005,bad,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,1.2527680503643923,1.393117620117937,3.019348698806417,6.153020006791486,11.818254376080233,15.006217072792055
,,0.005,bad,weighted_maxweight,0.995,0.995,0.995,0.995,2.0,1.6666666666666665,1.3333333333333333,1.0,1.2527680503643923,1.393117620117937,3.019348698806417,6.153020006791486,11.818254376080233,15.006217072792055
,,0.005,bad,cmu,0.995,0.995,0.995,0.995,,,,,1.16093195448422,0.3781321843640545,1.6012668982875569,10.729694204246012,13.870025241381843,15.816800951537953
,,0.005,bad,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,1.6959524946096582,1.1029339760249335,2.1129143817909197,5.389735567747063,10.301536420172575,13.437083026062496
,,0.005,bad,random,0.995,0.995,0.995,0.995,1,0.9991800815818671,0.9988672472595318,0.9991153037518907,1.6959524946096582,1.1029339760249335,2.1129143817909197,5.389735567747063,10.301536420172575,13.437083026062496
,,0.005,bad,random_idle,0.995,0.995,0.995,0.995,1,0.9991800815818671,0.9988672472595318,0.9991153037518907,1.6964598611001762,1.3481566656723962,2.762868548452063,2.7275485606137315,8.535033635838367,12.05122079020416
